instance_name,best_model,local_max_k
oski15a01b01s,linear,10
picorv32_mutCY_nomem-p0,exponential,9
anderson,None,-1
zipversa_composecrc_prf-p11,linear,10
pdtswvsam6x8p1,linear,10
bobunr2p10d40l,linear,10
beemadd4b1,exponential,15
zipcpu-zipmmu-p09,linear,10
beemmsmie1f1,exponential,21
circular_pointer_top_w8_d16_e0,exponential,13
oski15a01b10s,linear,10
eijks1238,linear,10
cal143,exponential,5
shift_register_top_w32_d16_e0,exponential,10
bj08vendingcycle,linear,10
oski15a01b71s,linear,10
arbitrated_top_n4_w8_d64_e0,polynomial,-1
6s120,linear,10
cal35,linear,10
vgasim_imgfifo-p047,linear,10
6s401rb051,polynomial,-1
buggy_ridecore,exponential,5
ndista128,linear,10
oc8051gm68addr,polynomial,-1
rast-p19,linear,10
6s374b114,polynomial,-1
intel047,polynomial,-1
pj2010,linear,10
msmie,None,-1
qspiflash_dualflexpress_divfive-p097,polynomial,-1
bobtuint22neg,polynomial,-1
qspiflash_qflexpress_divfive-p064,polynomial,-1
bj08aut82,linear,10
shift1add262144,linear,10
pdtvisvsa16a10,linear,10
bobsynthand,linear,10
oski15a01b39s,linear,10
pj2018,linear,10
shift_register_top_w32_d8_e0,polynomial,-1
arbitrated_top_n2_w8_d32_e0,exponential,23
intel017,polynomial,-1
intel045,polynomial,-1
zipversa_composecrc_prf-p22,linear,10
bob12s09,exponential,5
6s329rb20,polynomial,-1
6s7,exponential,13
6s218b2950,polynomial,-1
6s326rb08,linear,10
productioncellp0,linear,10
arbitrated_top_n3_w8_d16_e0,exponential,17
6s309b046,exponential,20
pdtpmss1269b,linear,10
oski15a14b32s,linear,10
zipcpu-busdelay-p30,polynomial,-1
shift_register_top_w16_d64_e0,exponential,10
6s271rb079,polynomial,-1
