instance_name,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size
nusmvtcasp3,linear,87854,21016,,NA,NA,partial done (6/10),not available,not available,,not available,not available,
nusmvtcastp3,linear,90758,61006,,NA,NA,partial done (7/10),not available,not available,,not available,not available,
oc8051gm1edata,linear,354627,563,629.89,1,101,success (10/10),not available,not available,,not available,not available,
oc8051gm2daddr,linear,355452,540,658.24,1,94,success (10/10),not available,not available,,not available,not available,
oc8051gm7daddr,linear,350964,563,623.38,1,101,success (10/10),not available,not available,,not available,not available,
oc8051gm98addr,linear,358950,528,679.83,1,91,success (10/10),not available,not available,,not available,not available,
oc8051gmcadata,linear,355518,515,690.33,1,90,success (10/10),not available,not available,,not available,not available,
oc8051gmfbaddr,linear,342087,489,699.56,1,84,success (10/10),not available,not available,,not available,not available,
oski15a01b01s,linear,10139225,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b04s,linear,10139291,10,,NA,NA,partial done (5/10),not available,not available,,not available,not available,
oski15a01b05s,linear,10139258,47,215728.89,2,10,success (10/10),not available,not available,,not available,not available,
oski15a01b09s,linear,10139225,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b10s,linear,10139192,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b11s,linear,10139192,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b13s,linear,10139258,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b15s,linear,10139225,36,281645.14,1,19,success (10/10),not available,not available,,not available,not available,
oski15a01b16s,linear,10139192,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b17s,linear,10139192,2,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b19s,linear,10139225,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b20s,linear,10140347,20,507017.35,2,2,success (10/10),not available,not available,,not available,not available,
oski15a01b21s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b22s,linear,10140347,20,507017.35,2,2,success (10/10),not available,not available,,not available,not available,
oski15a01b23s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b24s,linear,10140314,10,1014031.40,1,1,success (10/10),not available,not available,,not available,not available,
oski15a01b25s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b27s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b29s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b31s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b33s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b35s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b37s,linear,10140314,132,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b39s,linear,10139258,56,181058.18,1,20,success (10/10),not available,not available,,not available,not available,
oski15a01b41s,linear,10139225,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b43s,linear,10139258,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b45s,linear,10139258,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b49s,linear,10139225,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b51s,linear,10139291,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b53s,linear,10139258,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b55s,linear,10139225,36,281645.14,1,19,success (10/10),not available,not available,,not available,not available,
oski15a01b57s,linear,10139192,2,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b59s,linear,10139225,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a01b61s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b63s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b65s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b67s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b69s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b71s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
